Aug 14 00:14:58 sweb-vs-001 postfix/smtp[9698]: A185A41ED7: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.8, delays=0.07/0.18/0.28/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7E4EuKP011262 Message accepted for delivery)
Aug 14 00:14:58 sweb-vs-001 postfix/smtp[9706]: A185A41ED7: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.8, delays=0.07/0.21/0.25/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7E4EuwC011263 Message accepted for delivery)
Aug 14 00:14:58 sweb-vs-001 postfix/smtp[9702]: 8EA9441ED4: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.06/0.21/0.33/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7E4Eupx011259 Message accepted for delivery)
Aug 14 00:14:58 sweb-vs-001 postfix/smtp[9697]: 7AEAD41ED5: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.11/0.1/0.46/1.5, dsn=2.0.0, status=sent (250 2.0.0 t7E4Euuf011261 Message accepted for delivery)
Aug 14 00:14:59 sweb-vs-001 postfix/smtp[9695]: 7AEAD41ED5: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.11/0.05/0.51/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7E4EuLM011258 Message accepted for delivery)
Aug 14 08:58:34 sweb-vs-001 postfix/smtp[25175]: 8DA874218F: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.9, delays=0.03/0.2/0.36/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7ECwW8R011356 Message accepted for delivery)
Aug 14 08:58:34 sweb-vs-001 postfix/smtp[25173]: 8DA874218F: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.03/0.14/0.42/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7ECwWUL011359 Message accepted for delivery)
Aug 14 08:58:34 sweb-vs-001 postfix/smtp[25168]: 811114218B: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.1, delays=0.08/0.13/0.46/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7ECwWiD011358 Message accepted for delivery)
Aug 14 08:58:34 sweb-vs-001 postfix/smtp[25162]: 6EA674218C: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.11/0.09/0.53/1.5, dsn=2.0.0, status=sent (250 2.0.0 t7ECwWPD011357 Message accepted for delivery)
Aug 14 08:58:34 sweb-vs-001 postfix/smtp[25164]: 6EA674218C: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.11/0.11/0.52/1.6, dsn=2.0.0, status=sent (250 2.0.0 t7ECwWCV011355 Message accepted for delivery)
Aug 14 09:18:20 sweb-vs-001 postfix/smtp[25787]: E9C57421EE: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.05/0.04/0.2/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7EDII12012737 Message accepted for delivery)
